/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_0.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_0.png [[0, 0], [640, 480]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_17.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_17.png [[0, 6392], [640, 6872]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_18.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_18.png [[0, 6768], [640, 7248]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_19.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_19.png [[0, 7144], [640, 7624]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_20.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_20.png [[0, 7520], [640, 8000]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_21.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_21.png [[0, 7896], [640, 8376]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_22.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_22.png [[0, 8272], [640, 8752]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_23.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_23.png [[0, 8648], [640, 9128]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_0_24.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_0_24.png [[0, 8913], [640, 9393]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_0.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_0.png [[531, 0], [1171, 480]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_1.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_1.png [[531, 376], [1171, 856]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_2.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_2.png [[531, 752], [1171, 1232]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_3.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_3.png [[531, 1128], [1171, 1608]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_4.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_4.png [[531, 1504], [1171, 1984]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_5.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_5.png [[531, 1880], [1171, 2360]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_6.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_6.png [[531, 2256], [1171, 2736]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_7.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_7.png [[531, 2632], [1171, 3112]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_8.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_8.png [[531, 3008], [1171, 3488]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_9.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_9.png [[531, 3384], [1171, 3864]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_10.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_10.png [[531, 3760], [1171, 4240]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_11.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_11.png [[531, 4136], [1171, 4616]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_12.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_12.png [[531, 4512], [1171, 4992]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_13.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_13.png [[531, 4888], [1171, 5368]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_14.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_14.png [[531, 5264], [1171, 5744]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_15.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_15.png [[531, 5640], [1171, 6120]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_16.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_16.png [[531, 6016], [1171, 6496]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_17.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_17.png [[531, 6392], [1171, 6872]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_18.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_18.png [[531, 6768], [1171, 7248]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_19.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_19.png [[531, 7144], [1171, 7624]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_20.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_20.png [[531, 7520], [1171, 8000]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_21.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_21.png [[531, 7896], [1171, 8376]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_22.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_22.png [[531, 8272], [1171, 8752]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_23.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_23.png [[531, 8648], [1171, 9128]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_1_24.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_1_24.png [[531, 8913], [1171, 9393]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_0.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_0.png [[1062, 0], [1702, 480]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_1.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_1.png [[1062, 376], [1702, 856]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_2.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_2.png [[1062, 752], [1702, 1232]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_3.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_3.png [[1062, 1128], [1702, 1608]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_4.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_4.png [[1062, 1504], [1702, 1984]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_5.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_5.png [[1062, 1880], [1702, 2360]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_6.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_6.png [[1062, 2256], [1702, 2736]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_7.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_7.png [[1062, 2632], [1702, 3112]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_8.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_8.png [[1062, 3008], [1702, 3488]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_9.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_9.png [[1062, 3384], [1702, 3864]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_10.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_10.png [[1062, 3760], [1702, 4240]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_11.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_11.png [[1062, 4136], [1702, 4616]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_12.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_12.png [[1062, 4512], [1702, 4992]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_13.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_13.png [[1062, 4888], [1702, 5368]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_14.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_14.png [[1062, 5264], [1702, 5744]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_15.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_15.png [[1062, 5640], [1702, 6120]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_16.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_16.png [[1062, 6016], [1702, 6496]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_17.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_17.png [[1062, 6392], [1702, 6872]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_18.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_18.png [[1062, 6768], [1702, 7248]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_19.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_19.png [[1062, 7144], [1702, 7624]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_20.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_20.png [[1062, 7520], [1702, 8000]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_21.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_21.png [[1062, 7896], [1702, 8376]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_22.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_22.png [[1062, 8272], [1702, 8752]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_23.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_23.png [[1062, 8648], [1702, 9128]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_2_24.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_2_24.png [[1062, 8913], [1702, 9393]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_0.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_0.png [[1593, 0], [2233, 480]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_1.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_1.png [[1593, 376], [2233, 856]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_2.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_2.png [[1593, 752], [2233, 1232]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_3.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_3.png [[1593, 1128], [2233, 1608]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_4.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_4.png [[1593, 1504], [2233, 1984]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_5.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_5.png [[1593, 1880], [2233, 2360]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_6.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_6.png [[1593, 2256], [2233, 2736]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_7.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_7.png [[1593, 2632], [2233, 3112]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_8.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_8.png [[1593, 3008], [2233, 3488]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_9.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_9.png [[1593, 3384], [2233, 3864]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_10.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_10.png [[1593, 3760], [2233, 4240]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_11.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_11.png [[1593, 4136], [2233, 4616]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_12.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_12.png [[1593, 4512], [2233, 4992]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_13.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_13.png [[1593, 4888], [2233, 5368]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_14.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_14.png [[1593, 5264], [2233, 5744]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_15.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_15.png [[1593, 5640], [2233, 6120]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_16.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_16.png [[1593, 6016], [2233, 6496]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_17.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_17.png [[1593, 6392], [2233, 6872]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_18.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_18.png [[1593, 6768], [2233, 7248]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_19.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_19.png [[1593, 7144], [2233, 7624]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_20.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_20.png [[1593, 7520], [2233, 8000]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_21.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_21.png [[1593, 7896], [2233, 8376]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_22.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_22.png [[1593, 8272], [2233, 8752]]
/home/dschreib/Corals/Coral_Image_Datasets/chopped/train/FR7_10m_2012_UNCW_RAW.png_small_3_23.png /home/dschreib/Corals/Coral_Image_Datasets/chopped/trainannot/FR7_10m_2012_UNCW_MORPHS.png_small_3_23.png [[1593, 8648], [2233, 9128]]
